Entity,Code,Year,Exported organisms
Amphibians,,1976,200
Amphibians,,1977,41
Amphibians,,1978,210
Amphibians,,1979,10
Amphibians,,1981,3035
Amphibians,,1982,2003
Amphibians,,1983,506
Amphibians,,1984,231
Amphibians,,1985,13434
Amphibians,,1986,8482
Amphibians,,1987,6155
Amphibians,,1988,6945
Amphibians,,1989,6324
Amphibians,,1990,8733
Amphibians,,1991,5994
Amphibians,,1992,13787
Amphibians,,1993,8880
Amphibians,,1994,17176
Amphibians,,1995,29928
Amphibians,,1996,44793
Amphibians,,1997,35521
Amphibians,,1998,43266
Amphibians,,1999,31051
Amphibians,,2000,49314
Amphibians,,2001,54159
Amphibians,,2002,39385
Amphibians,,2003,19571
Amphibians,,2004,56713
Amphibians,,2005,29195
Amphibians,,2006,54966
Amphibians,,2007,34429
Amphibians,,2008,37877
Amphibians,,2009,31422
Amphibians,,2010,63586
Amphibians,,2011,53183
Amphibians,,2012,65076
Amphibians,,2013,62024
Amphibians,,2014,37580
Birds,,1975,22
Birds,,1976,145
Birds,,1977,5387
Birds,,1978,10602
Birds,,1979,5177
Birds,,1980,1006
Birds,,1981,205402
Birds,,1982,345851
Birds,,1983,376488
Birds,,1984,473536
Birds,,1985,531546
Birds,,1986,725662
Birds,,1987,634281
Birds,,1988,1170986
Birds,,1989,1191274
Birds,,1990,515978
Birds,,1991,875860
Birds,,1992,810165
Birds,,1993,664088
Birds,,1994,706351
Birds,,1995,1029016
Birds,,1996,1088638
Birds,,1997,365156
Birds,,1998,1174491
Birds,,1999,1341094
Birds,,2000,1410130
Birds,,2001,1079187
Birds,,2002,953216
Birds,,2003,1390221
Birds,,2004,1001762
Birds,,2005,709653
Birds,,2006,121156
Birds,,2007,193661
Birds,,2008,232881
Birds,,2009,260349
Birds,,2010,297082
Birds,,2011,351623
Birds,,2012,500902
Birds,,2013,570586
Birds,,2014,525599
Fish,,1976,6
Fish,,1977,44
Fish,,1978,2
Fish,,1979,29
Fish,,1980,23
Fish,,1981,4
Fish,,1983,2
Fish,,1984,4
Fish,,1985,60
Fish,,1986,33
Fish,,1988,16
Fish,,1989,14
Fish,,1990,502
Fish,,1991,402
Fish,,1992,3607
Fish,,1993,16782
Fish,,1994,157257
Fish,,1995,56011
Fish,,1996,101895
Fish,,1997,255751
Fish,,1998,496260
Fish,,1999,1779424
Fish,,2000,1079950
Fish,,2001,483338
Fish,,2002,1763927
Fish,,2003,1034703
Fish,,2004,507417
Fish,,2005,225846
Fish,,2006,207771
Fish,,2007,420691
Fish,,2008,259005
Fish,,2009,626962
Fish,,2010,1292189
Fish,,2011,564862
Fish,,2012,583940
Fish,,2013,462135
Fish,,2014,462545
Invertebrates,,1977,9
Invertebrates,,1978,8633
Invertebrates,,1979,594
Invertebrates,,1981,20
Invertebrates,,1982,4195
Invertebrates,,1983,10244
Invertebrates,,1984,773
Invertebrates,,1985,76544
Invertebrates,,1986,2808524
Invertebrates,,1987,1040535
Invertebrates,,1988,808485
Invertebrates,,1989,435432
Invertebrates,,1990,2018785
Invertebrates,,1991,2355846
Invertebrates,,1992,5382939
Invertebrates,,1993,2921952
Invertebrates,,1994,1163318
Invertebrates,,1995,1975627
Invertebrates,,1996,2174262
Invertebrates,,1997,1150456
Invertebrates,,1998,2027717
Invertebrates,,1999,2197182
Invertebrates,,2000,2121881
Invertebrates,,2001,2348302
Invertebrates,,2002,3144470
Invertebrates,,2003,2201038
Invertebrates,,2004,4898678
Invertebrates,,2005,2657100
Invertebrates,,2006,2840057
Invertebrates,,2007,5958784
Invertebrates,,2008,3449386
Invertebrates,,2009,3195844
Invertebrates,,2010,3788029
Invertebrates,,2011,3456886
Invertebrates,,2012,4872765
Invertebrates,,2013,3564700
Invertebrates,,2014,2707910
Mammals,,1975,75
Mammals,,1976,256
Mammals,,1977,49521
Mammals,,1978,111643
Mammals,,1979,116046
Mammals,,1980,258348
Mammals,,1981,444857
Mammals,,1982,543604
Mammals,,1983,361196
Mammals,,1984,297385
Mammals,,1985,344980
Mammals,,1986,421255
Mammals,,1987,478381
Mammals,,1988,509138
Mammals,,1989,377299
Mammals,,1990,183039
Mammals,,1991,331032
Mammals,,1992,301300
Mammals,,1993,265412
Mammals,,1994,292452
Mammals,,1995,289499
Mammals,,1996,501130
Mammals,,1997,323701
Mammals,,1998,315264
Mammals,,1999,283007
Mammals,,2000,320306
Mammals,,2001,346049
Mammals,,2002,398826
Mammals,,2003,445514
Mammals,,2004,353748
Mammals,,2005,437979
Mammals,,2006,502710
Mammals,,2007,631087
Mammals,,2008,542108
Mammals,,2009,276253
Mammals,,2010,321574
Mammals,,2011,234260
Mammals,,2012,239040
Mammals,,2013,359964
Mammals,,2014,204290
Plants,,1976,11900
Plants,,1977,50199
Plants,,1978,79300
Plants,,1979,1203563
Plants,,1980,3926575
Plants,,1981,18796006
Plants,,1982,12694028
Plants,,1983,12295555
Plants,,1984,32134853
Plants,,1985,34047817
Plants,,1986,44649636
Plants,,1987,13559236
Plants,,1988,22703972
Plants,,1989,9514778
Plants,,1990,21708913
Plants,,1991,32234567
Plants,,1992,17083765
Plants,,1993,16796959
Plants,,1994,16591358
Plants,,1995,10582093
Plants,,1996,12221041
Plants,,1997,42702160
Plants,,1998,35929125
Plants,,1999,49708119
Plants,,2000,55098792
Plants,,2001,63136559
Plants,,2002,90446082
Plants,,2003,97990340
Plants,,2004,98862985
Plants,,2005,105910874
Plants,,2006,121643032
Plants,,2007,90832717
Plants,,2008,75077630
Plants,,2009,108178010
Plants,,2010,58291136
Plants,,2011,108192094
Plants,,2012,92549264
Plants,,2013,85665307
Plants,,2014,86238068
Reptiles,,1975,553
Reptiles,,1976,28375
Reptiles,,1977,33988
Reptiles,,1978,153858
Reptiles,,1979,342628
Reptiles,,1980,97571
Reptiles,,1981,2278681
Reptiles,,1982,1190106
Reptiles,,1983,2322658
Reptiles,,1984,3959071
Reptiles,,1985,4064962
Reptiles,,1986,6242760
Reptiles,,1987,4801415
Reptiles,,1988,5679604
Reptiles,,1989,6773646
Reptiles,,1990,7981608
Reptiles,,1991,5040915
Reptiles,,1992,4779237
Reptiles,,1993,4475078
Reptiles,,1994,3550648
Reptiles,,1995,4504006
Reptiles,,1996,4748253
Reptiles,,1997,4580239
Reptiles,,1998,4972412
Reptiles,,1999,4633675
Reptiles,,2000,5267111
Reptiles,,2001,4904918
Reptiles,,2002,4399538
Reptiles,,2003,4336468
Reptiles,,2004,4699729
Reptiles,,2005,5123418
Reptiles,,2006,5453911
Reptiles,,2007,4563848
Reptiles,,2008,3494313
Reptiles,,2009,3502068
Reptiles,,2010,3636077
Reptiles,,2011,3783621
Reptiles,,2012,3901507
Reptiles,,2013,3646626
Reptiles,,2014,3731996
Total,,1975,650
Total,,1976,40882
Total,,1977,139189
Total,,1978,364248
Total,,1979,1668047
Total,,1980,4283523
Total,,1981,21728004
Total,,1982,14779786
Total,,1983,15366649
Total,,1984,36865852
Total,,1985,39079343
Total,,1986,54856351
Total,,1987,20520003
Total,,1988,30879146
Total,,1989,18298767
Total,,1990,32417557
Total,,1991,40844615
Total,,1992,28374799
Total,,1993,25149151
Total,,1994,22478560
Total,,1995,18466180
Total,,1996,20880012
Total,,1997,49412984
Total,,1998,44958534
Total,,1999,59973552
Total,,2000,65347484
Total,,2001,72352511
Total,,2002,101145443
Total,,2003,107417854
Total,,2004,110381032
Total,,2005,115094064
Total,,2006,130823602
Total,,2007,102635218
Total,,2008,83093199
Total,,2009,116070908
Total,,2010,67689673
Total,,2011,116636529
Total,,2012,102712495
Total,,2013,94331341
Total,,2014,93907987